PWY-6684	aromatic  glucosinolate activation
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-7975	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II
PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7961	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-5443	aminopropanol phosphate biosynthesis I
PWY-7378	aminopropanol phosphate biosynthesis II
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)
PWY-7729	5,6-dimethylbenzimidazole biosynthesis II (anaerobic)
PWY-8097	5-hydroxybenzimidazole biosynthesis (anaerobic)
PWY-8095	5-methoxy-6-methylbenzimidazole biosynthesis (anaerobic)
PWY-8096	5-methoxybenzimidazole biosynthesis (anaerobic)
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I
PWY-7972	adenosylcobinamide-GDP salvage from cobinamide II
PWY-6269	superpathway of adenosylcobalamin salvage from cobinamide II
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-7974	cobalamin salvage (eukaryotic)
PWY-7552	heme b biosynthesis III (from siroheme)
PWY-7766	heme b biosynthesis IV (Gram-positive bacteria)
PWY-5918	superpathway of heme b biosynthesis from glutamate
PWY-5920	superpathway of heme b biosynthesis from glycine
PWY-7856	heme a biosynthesis
PWY-7554	heme d1 biosynthesis
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY-7382	lipoate biosynthesis and incorporation IV (yeast)
PWY-6984	lipoate salvage II
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-7710	FeMo cofactor biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-6823	molybdenum cofactor biosynthesis
PWY-5963	thio-molybdenum cofactor biosynthesis
PWY-5663	erythro-tetrahydrobiopterin biosynthesis I
PWY-6983	threo-tetrahydrobiopterin biosynthesis
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)
PWY-6899	base-degraded thiamine salvage
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6896	thiamine diphosphate salvage I
PWY-6897	thiamine diphosphate salvage II
PWY-6898	thiamine diphosphate salvage III
PWY-7356	thiamine diphosphate salvage IV (yeast)
PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)
PWY-6891	thiazole component of thiamine diphosphate biosynthesis II
PWY-6892	thiazole component of thiamne diphosphate biosynthesis
PWY-6909	thiazole component of thiamne diphosphate biosynthesis III
PWY-6895	superpathway of thiamine diphosphate biosynthesis II
PWY-6466	pyridoxal 5'-phosphate biosynthesis II
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)
PWY-5196	factor 430 biosynthesis
PWY-8063	flavin-N5-oxide biosynthesis
PWY-7928	nickel cofactor biosynthesis
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-8057	pyruvoyl group formation from L-serine
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-7043	11-cis-3-hydroxyretinal biosynthesis
PWY-7042	the visual cycle (insects)
PWY-6861	the visual cycle I (vertebrates)
PWY-7041	the visual cycle II (molluscs)
PWY-6872	retinoate biosynthesis I
PWY-6875	retinoate biosynthesis II
PWY-6857	retinol biosynthesis
PWY-6076	vitamin D3 biosynthesis
PWY-7999	vitamin K-epoxide cycle
PWY-8051	anandamide biosynthesis I
PWY-8053	anandamide biosynthesis II
PWY-4942	sterculate biosynthesis
PWY-6014	vernolate biosynthesis I
PWY-7634	vernolate biosynthesis II
PWY-6917	vernolate biosynthesis III
PWY-5966-1	fatty acid biosynthesis initiation (animals and fungi, cytoplasm)
PWY-4381	fatty acid biosynthesis initiation (bacteria and plants)
PWY-6799	fatty acid biosynthesis initiation (plant mitochondria)
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-6710	poly-hydroxy fatty acids biosynthesis
PWY-7618	ricinoleate biosynthesis
PWY-5994	palmitate biosynthesis (animals and fungi, cytoplasm)
PWY-5971	palmitate biosynthesis II (bacteria and plant cytoplasm)
PWY-5972	stearate biosynthesis I (animals)
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY-7858	(5Z)-dodecenoate biosynthesis II
PWY-5997	alpha-linolenate biosynthesis I (plants and red algae)
PWY-7598	alpha-linolenate biosynthesis II (cyanobacteria)
PWY-7641	5-hexynoate biosynthesis
PWY-6013	crepenynate biosynthesis
PWY-6603	dicranin biosynthesis
PWY-5998	gamma-linolenate biosynthesis I (plants)
PWY-6000	gamma-linolenate biosynthesis II (animals)
PWY-7594	gamma-linolenate biosynthesis III (cyanobacteria)
PWY-5995	linoleate biosynthesis I (plants)
PWY-6001	linoleate biosynthesis II (animals)
PWY-7593	linoleate biosynthesis III (cyanobacteria)
PWY-5147	oleate biosynthesis I (plants)
PWY-5996	oleate biosynthesis II (animals and fungi)
PWY-7587	oleate biosynthesis III (cyanobacteria)
PWY-7664	oleate biosynthesis IV (anaerobic)
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)
PWY-5353	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)
PWY-7583	arachidonate biosynthesis II (bacteria)
PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals)
PWY-7601	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)
PWY-7725	arachidonate biosynthesis V (8-detaturase, mammals)
PWY-5375	alpha-eleostearate biosynthesis
PWY-5373	calendate biosynthesis
PWY-5368	dimorphecolate biosynthesis
PWY-5374	punicate biosynthesis
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)
PWY-7585	docosahexaenoate biosynthesis II (bacteria)
PWY-7606	docosahexaenoate biosynthesis III (6-desaturase, mammals)
PWY-7727	docosahexaenoate biosynthesis IV (4-desaturase, mammals)
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)
PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)
PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)
PWY-7050	icosapentaenoate biosynthesis IV (bacteria)
PWY-7602	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)
PWY-6940	icosapentaenoate biosynthesis VI (fungi)
PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)
PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)
PWY-7590	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
PWY-7619	juniperonate biosynthesis
PWY-7152	pinolenate and coniferonate biosynthesis
PWY-6598	sciadonate biosynthesis
PWY-7595	stearidonate biosynthesis (cyanobacteria)
PWY-7596	superpathway of stearidonate biosynthesis (cyanobacteria)
PWY-5361	(5Z)-icosenoate biosynthesis
PWY-7691	10,13-epoxy-11-methyl-octadecadienoate biosynthesis
PWY-5973	cis-vaccenate biosynthesis
PWY-7663	gondoate biosynthesis (anaerobic)
PWY-5367	petroselinate biosynthesis
PWY-5362	sapienate biosynthesis
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)
PWY-7094	fatty acid salvage
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-5156	superpathway of fatty acid biosynthesis II (plant)
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)
PWY-6113	superpathway of mycolate biosynthesis
PWY-8041	ultra-long-chain fatty acid biosynthesis
PWY-5080	very long chain fatty acid biosynthesis I
PWY-7036	very long chain fatty acid biosynthesis II
PWY-7684	alpha-diglucosyldiacylglycerol biosynthesis
PWY-401	galactolipid biosynthesis I
PWY-7666	galactolipid biosynthesis II
PWY-7902	glucosylglycerol biosynthesis
PWY-782	glycolipid desaturation
PWY-7885	phosphatidylinositol mannoside biosynthesis
PWY-7738	polyacyltrehalose biosynthesis
PWY-6648	rhamnolipid biosynthesis
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)
PWY-5668	cardiolipin biosynthesis I
PWY-5269	cardiolipin biosynthesis II
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY-6825	phosphatidylcholine biosynthesis V
PWY-6826	phosphatidylcholine biosynthesis VI
PWY-7470	phosphatidylcholine biosynthesis VII
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)
PWY-7501	phosphatidylserine biosynthesis I
PWY-7506	phosphatidylserine biosynthesis II
PWY-6352	3-phosphoinositide biosynthesis
PWY-6350	archaetidylinositol biosynthesis
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6349	CDP-archaeol biosynthesis
PWY-6367	D-myo-inositol-5-phosphate metabolism
PWY-7411	phosphatidate biosynthesis (yeast)
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-762	phospholipid desaturation
PWY-7417	phospholipid remodeling (phosphatidate, yeast)
PWY-7782	plasmalogen biosynthesis
PWY-6371	superpathway of inositol phosphate compounds
PWY-8042	acylceramide biosynthesis
PWY-7404	ceramide phosphoethanolamine biosynthesis
PWY-7840	gala-series glycosphingolipids biosynthesis
PWY-7836	ganglio-series glycosphingolipids biosynthesis
PWY-7838	globo-series glycosphingolipids biosynthesis
PWY-7839	lacto-series glycosphingolipids biosynthesis
PWY-7841	neolacto-series glycosphingolipids biosynthesis
PWY-7277	sphingolipid biosynthesis (mammals)
PWY-5129	sphingolipid biosynthesis (plants)
PWY-7835	superpathway of glycosphingolipids biosynthesis
PWY-6075	ergosterol biosynthesis I
PWY-7154	ergosterol biosynthesis II
PWY-7156	superpathway of ergosterol biosynthesis II
PWY-7755	iso-bile acids biosynthesis I
PWY-7756	iso-bile acids biosynthesis II
PWY-7155	7-dehydroporiferasterol biosynthesis
PWY-7455	allopregnanolone biosynthesis
PWY-6061	bile acid biosynthesis, neutral pathway
PWY-6036	cardenolide glucosides biosynthesis
PWY-8028	cycloartenol biosynthesis
PWY-6032	digitoxigenin biosynthesis
PWY-6132	lanosterol biosynthesis
PWY-8027	parkeol biosynthesis
PWY-2541	phytosterol biosynthesis (plants)
PWY-8026	sterol biosynthesis (methylotrophs)
PWY-7424	sterol:steryl ester interconversion (yeast)
PWY-7588	ursodeoxycholate biosynthesis (bacteria)
PWY-6074	zymosterol biosynthesis
PWY-8075	(Kdo)2-lipid A biosynthesis II (P. putida)
PWY-5148	acyl-CoA hydrolysis
PWY-5142	acyl-[acyl-carrier protein] thioesterase pathway
PWY-7740	beta-D-mannosyl phosphomycoketide biosynthesis
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6795	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis
PWY-7744	dimycocerosyl phthiocerol biosynthesis
PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis
PWY-6129	dolichol and dolichyl phosphate biosynthesis
PWY-5670	epoxysqualene biosynthesis
PWY-8082	glycine lipid biosynthesis
PWY-7420	monoacylglycerol metabolism (yeast)
PWY-7746	mycobacterial sulfolipid biosynthesis
PWY-6818	ornithine lipid biosynthesis
PWY-7745	p-HBAD biosynthesis
PWY-7742	phenolphthiocerol biosynthesis
PWY-6803	phosphatidylcholine acyl editing
PWY-7741	phthiocerol biosynthesis
PWY-6453	stigma estolide biosynthesis
PWY-4762	superpathway of choline biosynthesis
PWY-5884	wax esters biosynthesis I
PWY-5885	wax esters biosynthesis II
PWY-7878	A-factor gamma-butyrolactone biosynthesis
PWY-7882	IM-2 type gamma-butyrolactones biosynthesis
PWY-7881	virginiae butanolide type gamma-butyrolactones biosynthesis
PWY-6575	juvenile hormone III biosynthesis I
PWY-6650	juvenile hormone III biosynthesis II
PWY-695	abscisic acid biosynthesis
PWY-581	indole-3-acetate biosynthesis II
PWY-3161	indole-3-acetate biosynthesis III (bacteria)
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)
PWY-699	brassinosteroid biosynthesis I
PWY-2582	brassinosteroid biosynthesis II
PWY-2781	cis-zeatin biosynthesis
PWY-2902	cytokinin-O-glucosides biosynthesis
PWY-2881	cytokinins 7-N-glucoside biosynthesis
PWY-2901	cytokinins 9-N-glucoside biosynthesis
PWY-5967	lupinate biosynthesis
PWY-2681	trans-zeatin biosynthesis
PWY-6853	ethene biosynthesis II (microbes)
PWY-6854	ethene biosynthesis III (microbes)
PWY-7126	ethene biosynthesis IV (engineered)
PWY-7124	ethene biosynthesis V (engineered)
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-5047	gibberellin biosynthesis IV (Gibberella fujikuroi)
PWY-7232	gibberellin biosynthesis V
PWY-6653	ent -kaurene biosynthesis II
PWY-5032	ent-kaurene biosynthesis I
PWY-5034	GA12 biosynthesis
PWY-5052	superpathway of gibberellin biosynthesis
PWY-5053	superpathway of gibberellin GA12 biosynthesis
PWY-735	jasmonic acid biosynthesis
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-7101	5-deoxystrigol biosynthesis
PWY-7654	(8E,10E)-dodeca-8,10-dienol biosynthesis
PWY-7423	bombykol biosynthesis
PWY-7300	ecdysone and 20-hydroxyecdysone biosynthesis
PWY-7306	estradiol biosynthesis II
PWY-7410	ipsdienol biosynthesis
PWY-7299	progesterone biosynthesis
PWY-6030	serotonin and melatonin biosynthesis
PWY-7656	Spodoptera littoralis pheromone biosynthesis
PWY-7305	superpathway of steroid hormone biosynthesis
PWY-6241	thyroid hormone biosynthesis
PWY-6845	nitric oxide biosynthesis I (plants)
PWY-7860	nitric oxide biosynthesis III (bacteria)
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)
PWY-5662	glucosylglycerate biosynthesis I
PWY-6685	glucosylglycerate biosynthesis II
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY-5656	mannosylglycerate biosynthesis I
PWY-5658	mannosylglycerate biosynthesis II
PWY-8098	cyclic 2,3-bisphosphoglycerate biosynthesis
PWY-6664	di-myo-inositol phosphate biosynthesis
PWY-7054	N-acetylglutaminylglutamine amide biosynthesis
PWY-6100	L-carnitine biosynthesis
PWY-7535	lovastatin biosynthesis
PWY-6405	Rapoport-Luebering glycolytic shunt
PWY-7227	adenosine deoxyribonucleotides de novo biosynthesis
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II
PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6123	inosine-5'-phosphate biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II
PWY-7234	inosine-5'-phosphate biosynthesis III
PWY-7219	adenosine ribonucleotides de novo biosynthesis
PWY-7221	guanosine ribonucleotides de novo biosynthesis
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II
PWY-841	superpathway of purine nucleotides de novo biosynthesis I
PWY-6605	adenine and adenosine salvage II
PWY-6609	adenine and adenosine salvage III
PWY-6611	adenine and adenosine salvage V
PWY-6619	adenine and adenosine salvage VI
PWY-6610	adenine salvage
PWY-6620	guanine and guanosine salvage
PWY-6599	guanine and guanosine salvage II
PWY-6618	guanine and guanosine salvage III
PWY-6579	superpathway of guanine and guanosine salvage
PWY-7224	purine deoxyribonucleosides salvage
PWY-6794	adenosine 5'-phosphoramidate biosynthesis
PWY-5686	UMP biosynthesis I
PWY-7790	UMP biosynthesis II
PWY-7791	UMP biosynthesis III
PWY-7176	UTP and CTP de novo biosynthesis
PWY-7205	CMP phosphorylation
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7183	pyrimidine nucleobases salvage I
PWY-7194	pyrimidine nucleobases salvage II
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-6519	8-amino-7-oxononanoate biosynthesis I
PWY-7147	8-amino-7-oxononanoate biosynthesis II
PWY-6578	8-amino-7-oxononanoate biosynthesis III
PWY-5951	(R,R)-butanediol biosynthesis
PWY-6390	(S,S)-butanediol biosynthesis
PWY-6391	meso-butanediol biosynthesis I
PWY-6392	meso-butanediol biosynthesis II
PWY-6396	superpathway of 2,3-butanediol biosynthesis
PWY-6871	3-methylbutanol biosynthesis (engineered)
PWY-7442	drosopterin and aurodrosopterin biosynthesis
PWY-6498	eumelanin biosynthesis
PWY-6481	L-dopa and L-dopachrome biosynthesis
PWY-6730	methylhalides biosynthesis (plants)
PWY-8067	methylphosphonate biosynthesis
PWY-8043	ophthalmate biosynthesis
PWY-7917	pheomelanin biosynthesis
PWY-6577	farnesylcysteine salvage pathway
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis
PWY-5817	dodecaprenyl diphosphate biosynthesis
PWY-5122	geranyl diphosphate biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I
PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II
PWY-7407	aurachin A, B, C and D biosynthesis
PWY-7405	aurachin RE biosynthesis
PWY-7667	apicidin biosynthesis
PWY-7668	apicidin F biosynthesis
PWY-7650	echinocandin B biosynthesis
PWY-7108	erythromycin A biosynthesis
PWY-7106	erythromycin D biosynthesis
PWY-7109	megalomicin A biosynthesis
PWY-7422	methymycin, neomethymycin and novamethymycin biosynthesis
PWY-7412	mycinamicin biosynthesis
PWY-7421	narbomycin, pikromycin and novapikromycin biosynthesis
PWY-7624	nystatin biosynthesis
PWY-6971	oleandomycin biosynthesis
PWY-7677	rosamicin biosynthesis
PWY-6977	superpathway of erythromycin biosynthesis
PWY-6975	superpathway of erythromycin biosynthesis (without sugar biosynthesis)
PWY-7110	superpathway of megalomicin A biosynthesis
PWY-7415	tylosin biosynthesis
PWY-7014	paromamine biosynthesis I
PWY-7022	paromamine biosynthesis II
PWY-5737	(5R)-carbapenem carboxylate biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis
PWY-7733	3-hydroxyquinaldate biosynthesis
PWY-6511	3-methylarginine biosynthesis
PWY-7956	3-[(E)-2-isocyanoethenyl]-1H-indole biosynthesis
PWY-7911	6'-dechloromelleolide F biosynthesis
PWY-7811	6-methylpretetramide biosynthesis
PWY-7354	aclacinomycin biosynthesis
PWY-7718	actinomycin D biosynthesis
PWY-5887	albaflavenone biosynthesis
PWY-8040	ansatrienin biosynthesis
PWY-7569	arginomycin biosynthesis
PWY-7665	aureobasidin A biosynthesis
PWY-8033	aureothin biosynthesis
PWY-7626	bacilysin biosynthesis
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis
PWY-7570	blasticidin S biosynthesis
PWY-7019	butirosin biosynthesis
PWY-6722	candicidin biosynthesis
PWY-5632	cephalosporin C biosynthesis
PWY-5633	cephamycin C biosynthesis
PWY-8036	chaxamycin biosynthesis
PWY-8032	chloramphenicol biosynthesis
PWY-7810	chlorotetracycline biosynthesis
PWY-5679	clavulanate biosynthesis
PWY-7706	dapdiamides biosynthesis
PWY-7352	daunorubicin biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-7655	dechlorogriseofulvin biosynthesis
PWY-6682	dehydrophos biosynthesis
PWY-7355	doxorubicin biosynthesis
PWY-7735	echinomycin and triostin A biosynthesis
PWY-7483	elloramycin biosynthesis
PWY-7669	equisetin biosynthesis
PWY-5757	fosfomycin biosynthesis
PWY-7419	FR-900098 and FR-33289 antibiotics biosynthesis
PWY-7670	fusaridione A biosynthesis
PWY-7025	gentamicin biosynthesis
PWY-6003	gramicidin S biosynthesis
PWY-7653	griseofulvin biosynthesis
PWY-7693	guadinomine B biosynthesis
PWY-7690	holomycin biosynthesis
PWY-7770	indolmycin biosynthesis
PWY-5629	isopenicillin N biosynthesis
PWY-6679	jadomycin biosynthesis
PWY-6345	K-252 biosynthesis
PWY-7000	kanamycin biosynthesis
PWY-6955	lincomycin A biosynthesis
PWY-8119	microcin B17 biosynthesis
PWY-7045	mithramycin biosynthesis
PWY-8039	mitomycin biosynthesis
PWY-8012	mupirocin biosynthesis
PWY-8038	naphthomycin biosynthesis
PWY-7016	neomycin biosynthesis
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-7797	nocardicin A biosynthesis
PWY-7287	novobiocin biosynthesis
PWY-7018	paromomycin biosynthesis
PWY-7716	penicillin G and penicillin V biosynthesis
PWY-5630	penicillin K biosynthesis
PWY-6915	pentalenolactone biosynthesis
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-7769	phosalacine biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-7441	polymyxin A biosynthesis
PWY-7547	prodigiosin biosynthesis
PWY-5929	puromycin biosynthesis
PWY-6666	pyocyanin biosynthesis
PWY-7734	quinoxaline-2-carboxylate biosynthesis
PWY-6324	rebeccamycin biosynthesis
PWY-7510	rhizocticin A and B biosynthesis
PWY-7015	ribostamycin biosynthesis
PWY-5984	rifamycin B biosynthesis
PWY-7863	roseoflavin biosynthesis
PWY-7671	saframycin A biosynthesis
PWY-6721	sangivamycin biosynthesis
PWY-7702	sch210971 and sch210972 biosynthesis
PWY-8034	spectinabilin biosynthesis
PWY-6346	staurosporine biosynthesis
PWY-5940	streptomycin biosynthesis
PWY-8035	streptovaricin biosynthesis
PWY-7020	superpathway of butirocin biosynthesis
PWY-7575	superpathway of candicidin biosynthesis
PWY-7021	superpathway of neomycin biosynthesis
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis
PWY-5993	superpathway of rifamycin B biosynthesis
PWY-7809	superpathway of tetracycline and oxytetracycline biosynthesis
PWY-5930	terpentecin biosynthesis
PWY-7485	tetracenomycin C biosynthesis
PWY-7812	tetracycline and oxytetracycline biosynthesis
PWY-7737	thiocoraline biosynthesis
PWY-6720	toyocamycin biosynthesis
PWY-7821	tunicamycin biosynthesis
PWY-5818	validamycin biosynthesis
PWY-7659	viridicatumtoxin biosynthesis
PWY-7694	zwittermicin A biosynthesis
PWY-6157	autoinducer AI-1 biosynthesis
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)
PWY-7621	autoinducer CAI-1 biosynthesis
PWY-7255	ergothioneine biosynthesis I (bacteria)
PWY-7550	ergothioneine biosynthesis II (fungi)
PWY-5406	divinyl ether biosynthesis I
PWY-5409	divinyl ether biosynthesis II
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-5433	superpathway of lipoxygenase
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
PWY-7100	spinosyn A biosynthesis
PWY-5400	amaranthin biosynthesis
PWY-5399	betacyanin biosynthesis
PWY-5439	betacyanin biosynthesis (via dopamine)
PWY-5394	betalamic acid biosynthesis
PWY-5426	betaxanthin biosynthesis
PWY-5403	betaxanthin biosynthesis (via dopamine)
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
PWY-5405	superpathway of betalain biosynthesis
PWY-7532	acetylaszonalenin biosynthesis
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-6493	chanoclavine I aldehyde biosynthesis
PWY-6495	ergotamine biosynthesis
PWY-7059	fumigaclavine biosynthesis
PWY-5467	gramine biosynthesis
PWY-5290	secologanin and strictosidine biosynthesis
PWY-7520	terrequinone A biosynthesis
PWY-5292	vindoline, vindorosine and vinblastine biosynthesis
PWY-3581	(S)-reticuline biosynthesis I
PWY-6133	(S)-reticuline biosynthesis II
PWY-7522	(R)-canadine biosynthesis
PWY-3901	berberine biosynthesis
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis
PWY-7507	chelerythrine biosynthesis
PWY-8030	coptisine biosynthesis
PWY-6337	dehydroscoulerine biosynthesis
PWY-8031	epiberberine biosynthesis
PWY-5876	magnoflorine biosynthesis
PWY-5270	morphine biosynthesis
PWY-5470	palmatine biosynthesis
PWY-7363	papaverine biosynthesis
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-5037	caffeine biosynthesis I
PWY-5038	caffeine biosynthesis II (via paraxanthine)
PWY-5039	theobromine biosynthesis I
PWY-5040	theobromine biosynthesis II (via xanthine)
PWY-8077	ginkgotoxin biosynthesis
PWY-8080	kainate biosynthesis
PWY-5316	nicotine biosynthesis
PWY-5752	piperine biosynthesis
PWY-7342	superpathway of nicotine biosynthesis
PWY-5110	trigonelline biosynthesis
PWY-6852	senecionine N-oxide biosynthesis
PWY-6326	camptothecin biosynthesis
PWY-5848	cinchona alkaloids biosynthesis
PWY-5468	lupanine biosynthesis
PWY-5318	calystegine biosynthesis
PWY-5843	cocaine biosynthesis
PWY-5846	colchicine biosynthesis
PWY-5317	hyoscyamine and scopolamine biosynthesis
PWY-7341	superpathway of hyoscyamine and scopolamine biosynthesis
PWY-7705	4'-methoxyviridicatin biosynthesis
