4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
6.1.1.20	phenylalanine--tRNA ligase	PHENYLALANINE--TRNA-LIGASE-RXN
6.1.1.15	proline--tRNA ligase	PROLINE--TRNA-LIGASE-RXN
6.1.1.11	L-serine:tRNASer ligase (AMP-forming)	SERINE--TRNA-LIGASE-RXN
6.1.1.3	threonine--tRNA ligase	THREONINE--TRNA-LIGASE-RXN
6.1.1.2	tryptophan--tRNA ligase	TRYPTOPHAN--TRNA-LIGASE-RXN
6.1.1.1	tyrosine--tRNA ligase	TYROSINE--TRNA-LIGASE-RXN
6.1.1.12	aspartate--tRNA ligase	ASPARTATE--TRNA-LIGASE-RXN
6.1.1.22	asparagine--tRNA ligase	ASPARAGINE--TRNA-LIGASE-RXN
6.1.1.7	alanine--tRNA ligase	ALANINE--TRNA-LIGASE-RXN
6.1.1.9	valine--tRNA ligase	VALINE--TRNA-LIGASE-RXN
6.1.1.4	leucine--tRNA ligase	LEUCINE--TRNA-LIGASE-RXN
6.1.1.5	isoleucine--tRNA ligase	ISOLEUCINE--TRNA-LIGASE-RXN
6.1.1.17	glutamate--tRNA ligase	GLURS-RXN
6.1.1.18	glutamine--tRNA ligase	GLUTAMINE--TRNA-LIGASE-RXN
6.1.1.16	cysteine--tRNA ligase	CYSTEINE--TRNA-LIGASE-RXN
6.1.1.19	arginine--tRNA ligase	ARGININE--TRNA-LIGASE-RXN
2.2.1.11	fructose 1,6-bisphosphate aldolase	RXN-10053
2.2.1.10	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	RXN-10031
1.4.1.24	dehydroquinate synthase	RXN-10032
1.2.1.64	4-hydroxybenzaldehyde dehydrogenase	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN
4.1.3.40	chorismate lyase	CHORPYRLY-RXN
2.3.1.196	benzoyl-CoA:benzyl alcohol benzoyltransferase	RXN-6724
1.2.1.28	benzaldehyde dehydrogenase	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
1.3.8.14	L-prolyl-S-[peptidyl-carrier protein] dehydrogenase	RXN-19071+RXN-19066
3.1.2.-	tribromopyrrolyl-2-carboxyl-S-[Bmp1 peptidyl-carrier protein] thioesterase	RXN-19073+RXN-19077+RXN-20355+RXN-15280+RXN-15281+RXN-15282+RXN-13098+RXN-13247
1.14.19.M18	3,3',5,5'-tetrabromo-2,2'-biphenyldiol synthase	RXN-19099+RXN-19075+RXN-19076+RXN-19097+RXN-19098+RXN-19103+RXN-19060+RXN-19117+RXN-19116+RXN-19115+RXN-19118+RXN-19120+RXN-19119+RXN-19064
1.14.13.2	4-hydroxybenzoate 3-monooxygenase	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
1.14.19.55	2,4-dibromophenol 6-brominase	RXN-19104
2.3.1.-	pyoluteorin synthase	RXN-19083+RXN-12699+RXN-12695+RXN-12697+RXN1G-1633+RXN-21324+RXN1G-181+RXN1G-295+RXN1G-1635+RXN1G-1150+RXN1G-98+RXN1G-1149+RXN1G-1634+RXN1G-296+RXN1G-1151+RXN1G-1636+RXN1G-297+RXN1G-1637+RXN1G-1152+RXN1G-536+RXN-20960+RXN-20867+RXN-2622+RXN-16855+RXN-16856+RXN-10725+RXN-15917+RXN-16921+RXN-10734+RXN-15894+RXN-15897+RXN-16883+RXN-20463+RXN-20468+RXN-20473+RXN-20474+RXN-20475+RXN-20476+RXN-20290+RXN-20287+RXN-20296+RXN-16943+RXN-16932+RXN-16942+RXN-16692+RXN-16717+RXN-16698+RXN-16738+RXN-16532+RXN-20308+RXN-20305+RXN-20485+RXN-9610+RXN-11725+RXN-16959+RXN-20269+RXN-15885+RXN-16577+RXN-19487+RXN-19515+RXN-11007+RXN-19495+RXN-19460+RXN-19461+RXN-19462+RXN-19514+RXN-19509+RXN-19436+RXN-19501+RXN-19502+RXN-11105+RXN-20451+RXN-20453+RXN-19486+RXN-18805+RXN-18807+RXN-17039+RXN-17041+RXN-19257+RXN-12668+RXN-16090+RXN-15329+RXN-15327+RXN18C3-40+RXN18C3-37+RXN18C3-36+RXN18C3-35+RXN18C3-38+RXN18C3-39+RXN18C3-48+RXN18C3-49+RXN18C3-47+RXN-12777+RXN18C3-24+RXN18C3-29+RXN18C3-30+RXN18C3-31+RXN18C3-34+RXN18C3-33+RXN18C3-25+RXN18C3-32+RXN18C3-41+RXN18C3-26+RXN18C3-27+RXN18C3-28+RXN18C3-44+RXN18C3-45+RXN18C3-46+RXN18C3-43+RXN18C3-42+RXN-8170+RXN-8232+RXN-8235+RXN-7998+RXN-7997+RXN-8138+RXN-15390+RXN-15389+RXN-15388+RXN-15954+RXN-12745+RXN-14735+LYSACET-RXN+KETOBUTFORMLY-RXN+RXN-17035+RXN-17037+RXN-17052+RXN-17071+RXN-17070
5.4.4.2	isochorismate synthase	ISOCHORSYN-RXN
4.2.99.21	isochorismate pyruvate lyase	RXN-1981
2.1.1.6	catechol O-methyltransferase	RXN18C3-60+RXN-9017+RXN6666-7+RXN-10906+RXN-10909
2.1.1.274	S-adenosyl-L-methionine:salicylic acid carboxymethyltransferase	RXN-6723
2.1.1.273	S-adenosyl-L-methionine:benzoic acid carboxymethyltransferase	RXN-6722
3.3.2.1	isochorismatase	ISOCHORMAT-RXN
1.3.1.28	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	DHBDEHYD-RXN
2.5.1.111	4-hydroxyphenylpyruvate dimethylallyl transferase	RXN-14631
1.13.11.83	3-dimethylallyl-4-hydroxyphenylpyruvate oxygenase	RXN-14671
1.13.12.23	3-dimethylallyl-4-hydroxymandelate oxygenase	RXN-14670
2.3.1.144	anthranilate N-benzoyltransferase	ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN
4.3.1.24/4.3.1.25	phenylalanine ammonia lyase	PHENYLALANINE-AMMONIA-LYASE-RXN
6.2.1.-	cinnamate:CoA ligase	RXN-2001+RXN1G-3993+RXN1G-4141+RXN1G-4140+RXN1G-4142+RXN1G-4143+RXN-10695+RXN-20452+RXN-15714+ACYLCOASYN-RXN+RXN-12161
1.17.1.-	dipicolinate synthase	RXN-5041+RXN-12940
1.10.3.1	polyphenol oxidase	CATECHOL-OXIDASE-RXN
1.10.3.-	lacquer laccase	RXN-11657
2.3.1.133	shikimate O-hydroxycinnamoyl transferase	2.3.1.133-RXN
4.1.1.53	aromatic amino acid decarboxylase	PHENYLALANINE-DECARBOXYLASE-RXN
4.1.1.109	phenylacetaldehyde synthase	RXN-8990
1.4.3.21	monoamine oxidase	AMINEPHEN-RXN+AMACETOXID-RXN
1.1.1.1	alcohol dehydrogenase	ALCOHOL-DEHYDROG-RXN+RXN-7693+RXN-13198+RXN-10911+RXN-10915+RXN-10781
1.2.1.80	long-chain acyl-[acyl-carrier-protein] reductase	RXN-11706+RXN-11707
4.1.99.5	aldehyde decarbonylase	RXN-13262+OCTADECANAL-DECARBONYLASE-RXN+RXN-1025
1.2.1.-	acyl-CoA reductase (NADH)	RXN-13273+RXN-15114+CYDTER-RXN+RXN-8182
2.4.1.34	1,3-beta-glucan synthase	13-BETA-GLUCAN-SYNTHASE-RXN
2.4.1.252	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase	RXN-11788
2.4.1.12	cellulose synthase	CELLULOSE-SYNTHASE-UDP-FORMING-RXN
5.4.2.2	phosphoglucomutase	PHOSPHOGLUCMUT-RXN
3.2.1.28	trehalase	TREHALA-RXN
2.7.1.1/2.7.1.2	glucokinase	GLUCOKIN-RXN
5.3.1.9	glucose-6-phosphate isomerase	PGLUCISOM-RXN
2.6.1.16	glucosamine-fructose-6-phosphate aminotransferase	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
2.3.1.4	glucosamine-6-phosphate N-acetyltransferase	GLUCOSAMINEPNACETYLTRANS-RXN
5.4.2.3	phosphoacetylglucosamine mutase	PHOSACETYLGLUCOSAMINEMUT-RXN
2.7.7.23	UDP-N-acetylglucosamine pyrophosphorylase	NAG1P-URIDYLTRANS-RXN
2.4.1.16	chitin synthase	CHITIN-SYNTHASE-RXN
2.4.1.10	sucrose:sucrose 6-fructosyltransferase	RXN-1803+RXN-1804
2.4.1.100	1,2-beta-fructan 1F-fructosyltransferase	RXN-1801
2.4.1.264	D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-D-Glc-alpha-1-diphosphoundecaprenol beta-1,2-glucuronyltransferase	RXN-11790
2.4.1.251	GlcA-beta-(1,2)-D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-D-Glc-alpha-1-diphosphoundecaprenol 4-beta-mannosyltransferase	RXN-11789
2.5.1.95	beta-D-mannose-(1,4)-beta-D-glucoronate-(1,2)-alpha-6-O-acetyl-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-diphosphoundecaprenol enolpyruvate transferase	RXN-11802
2.4.2.39	xyloglucan 6-xylosyltransferase	RXN-9461+RXN-12415
2.7.1.-	lipopolysaccharide core heptose (I) kinase	RXN0-5121+RXN0-5123+RXN-11710+RXN-7795
2.4.-.-	lipopolysaccharide core heptosyltransferase	RXN0-5122+RXN0-5118
2.4.1.44	lipopolysaccharide 1,6-galactosyltransferase	RXN0-5124
2.4.1.73	UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	RXN0-5125
2.4.1.58	lipopolysaccharide glucosyltransferase	RXN0-5126
5.3.3.7	aconitate-Delta-isomerase	ACONITATE-DELTA-ISOMERASE-RXN
4.1.1.113	trans-aconitate decarboxylase	RXN-19902
1.1.1.412	hentriaconta-3,6,9,12,19,22,25,28-octaene-16-one-15-oate reductase	RXN-18561
6.1.3.1	3-[(3Z,6Z,9Z,12Z)-pentadeca-3,6,9,12-tetraen-1-yl]-4-[(2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl]oxetan-2-one synthetase	RXN-18562
4.1.1.114	3-[(3Z,6Z,9Z,12Z)-pentadeca-3,6,9,12-tetraen-1-yl]-4-[(2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl]oxetan-2-one decarboxylase	RXN-18563
3.1.3.79	mannosylfructose-phosphate phosphatase	RXN-9936
2.4.1.290	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase	RXN-13274
2.4.1.291	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	RXN-13275
2.4.1.292	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase	RXN-13276
2.4.1.293	GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase	RXN-13277
2.4.99.19	undecaprenyl-diphosphooligosaccharide--protein glycotransferase	RXN-13280
2.4.1.82	raffinose synthase	2.4.1.82-RXN
2.4.1.67	alpha-D-galactosyl-(1-3)-1D-myo-inositol:raffinose galactosyltransferase	2.4.1.67-RXN
4.1.1.39	ribulose bisphosphate carboxylase	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
2.7.2.3	phosphoglycerate kinase	PHOSGLYPHOS-RXN
1.2.1.13	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.13-RXN
5.3.1.1	triosephosphate isomerase	TRIOSEPISOMERIZATION-RXN
4.1.2.13	sedoheptulose-1,7-bisphosphate aldolase	SEDOBISALDOL-RXN+F16ALDOLASE-RXN
3.1.3.37	sedoheptulose bisphosphatase	SEDOHEPTULOSE-BISPHOSPHATASE-RXN
2.2.1.1	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycoaldehyde transferase	1TRANSKETO-RXN+2TRANSKETO-RXN
5.3.1.6	ribose 5-phosphate isomerase	RIB5PISOM-RXN
3.1.3.11	fructose 1,6-bisphosphatase	F16BDEPHOS-RXN
5.1.3.1	pentose-5-phosphate 3-epimerase	RIBULP3EPIM-RXN
2.7.1.19	phosphoribulokinase	PHOSPHORIBULOKINASE-RXN
1.1.99.21	D-sorbitol dehydrogenase	D-SORBITOL-DEHYDROGENASE-RXN
1.1.99.32	L-sorbose dehydrogenase	RXN-8782
1.1.1.M58	L-sorbosone dehydrogenase	RXN-9069
2.7.7.9/2.7.7.64	UTP--glucose-1-phosphate uridylyltransferase	GLUC1PURIDYLTRANS-RXN
5.3.1.8	mannose-6-phosphate isomerase	MANNPISOM-RXN
5.4.2.8	phosphomannomutase	PHOSMANMUT-RXN
2.7.7.13	mannose-1-phosphate guanylyltransferase	2.7.7.13-RXN
4.2.1.47	GDP-mannose 4,6-dehydratase	GDPMANDEHYDRA-RXN
5.1.3.2	UDP-glucose 4-epimerase	UDPGLUCEPIM-RXN
6.2.1.M35	3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate--CoA ligase	RXN-20417
1.3.1.120	3,4-dihydroxy-3,4-dihydrobenzoyl-CoA reductase	RXN-20418+RXN-20421+RXN-20430
4.2.1.M28	4,5-dihydroxycyclohex-2-ene-1-carbonyl-CoA dehydratase	RXN-20419
1.3.1.M23	(5S)-5-hydroxycyclohex-1-ene-1-carbonyl-CoA reductase	RXN-20420
5.3.3.M5	2-cyclohexenylcarbonyl-CoA Delta-isomerase	RXN-20423
2.7.7.-	glycerol-2-phosphate cytidylyltransfrase	RXN-11711+RXN-21110+RXN-18700
2.4.2.45	5-phospho-alpha-D-ribose-1-diphosphate:decaprenyl-phosphate 5-phosphoribosyltransferase	RXN-11078
1.1.98.3	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase	RXN-11080
1.1.1.333	decaprenyl-phosphoryl-2-keto-beta-D-erythro-pentofuranose reductase	RXN-11081
5.4.99.9	UDP-galactopyranose mutase	GALPMUT-RXN
2.4.1.289	decaprenyl-N-acetyl-alpha-D-glucosaminyl-pyrophosphate:dTDP-alpha-L-rhamnose rhamnosyltransferase	RXN-11070
2.4.1.288	galactofuran:UDP-D-galacto-1,4-furanose UDP-galactofuranosyl-(1->6)-transferase	RXN-11077
2.4.2.46	(Galf)30-Rha-GlcNAc-P-P-C50:decaprenyl-phosphoryl-beta-D-arabinofuranose arabinofuranosyltransferase	RXN-11091
2.4.2.47	arabinogalactan alpha(1-->3) arabinofuranosyltransferase	RXN-11092
2.5.1.68	E,Z-farnesyl diphosphate synthase	2.5.1.68-RXN
2.5.1.86	trans,polycis-decaprenyl diphosphate synthase	RXN-11023
3.6.1.-	decaprenyl diphosphate phosphatase	RXN-11027+RXN-11397
2.7.8.35	decaprenol-monophosphate-N-acetylglucosaminyltransferase	RXN-6380
2.7.8.40	undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase	RXN-14571
2.7.8.-	teichuronic acid polymerase	RXN-18063+RXN-10933+CARDIOLIPSYN-RXN+RXN-11028
2.7.8.M1	polyisoprenyl-teichuronic acid--peptidoglycan teichuronic acid transferase	RXN-18064
1.1.1.28	D-lactate dehydrogenase	DLACTDEHYDROGNAD-RXN
6.1.2.1	D-alanine--D-lactate ligase	RXN-11298
6.3.2.35	D-alanine--D-serine ligase	RXN-11299
5.1.3.26	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	RXN-14572
2.4.1.306	UDP-GalNAc:alpha-D-GalNAc-diphosphoundecaprenol alpha-1,3-N-acetylgalactosaminyltransferase	RXN-14560
2.4.1.122	UDP-Gal:alpha-D-GalNAc-1,3-alpha-D-GalNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase	RXN-14561
2.4.1.308	GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-R alpha-1,2-fucosyltransferase	RXN-14562
2.4.1.309	UDP-Gal:alpha-L-Fuc-1,2-beta-Gal-1,3-alpha-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	RXN-14563
2.4.1.349	mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase	RXN-18772+RXN-18773
2.4.1.371	polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 2,3-alpha-mannosylpolymerase	RXN-18774+RXN-18775+RXN-18776
2.7.1.181	polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase	RXN-14706
2.1.1.294	3-O-phospho-polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase	RXN-14705
2.4.1.eh	dTDP-Rha:alpha-D-Gal-diphosphoundecaprenol alpha-1,3-rhamnosyltransferase	RXN-21844
2.4.1.ei	GDP-mannose:alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und alpha-mannosyltransferase	RXN-21843
2.4.1.60	paratosyltransferase	RXN-21854+ABEQUOSYLTRANSFERASE-RXN+RXN-21851+RXN-21853
2.4.1.ej	GDP-Man:alpha-D-Gal-diphosphoundecaprenol alpha-1,3-mannosyltransferase	RXN-21846
2.4.1.ek	GDP-Man:alpha-D-Man-(1->3)-alpha-D-Gal diphosphoundecaprenol 1,2-mannosyltransferase	RXN-21847
2.4.1.el	dTDP-Rha:alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Gal-PP-Und 1,2-rhamnosyltransferase	RXN-21848
2.3.1.du	alpha-L-Rha-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Gal-PP-Und acetyltransferase	RXN-21864
2.4.1.em	CDP-Abe:2-OAc-alpha-L-Rha-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Gal-PP-Und 1,3-abequosyltransferase	RXN-21849
2.4.1.en	GDP-Man:alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und beta-mannosyltransferase	RXN-21852
2.7.7.24	dTDP-glucose pyrophosphorylase	DTDPGLUCOSEPP-RXN
5.1.3.14	UDP-N-acetylglucosamine 2-epimerase	UDPGLCNACEPIM-RXN
1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase	UDPMANNACADEHYDROG-RXN
4.2.1.46	dTDP-glucose 4,6-dehydratase	DTDPGLUCDEHYDRAT-RXN
2.6.1.59	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	RFFTRANS-RXN
2.3.1.210	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	TDPFUCACTRANS-RXN
2.4.1.180	UDP-N-acetyl-D-mannosaminuronic acid transferase	UDPMANACATRANS-RXN
2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase	FUC4NACTRANS-RXN
3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase	UDPACYLGLCNACDEACETYL-RXN
2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
3.6.1.54	UDP-2,3-diacylglucosamine diphosphatase	LIPIDXSYNTHESIS-RXN
2.4.1.182	lipid A disaccharide synthase	LIPIDADISACCHARIDESYNTH-RXN
2.7.1.130	tetraacyldisaccharide 4'-kinase	TETRAACYLDISACC4KIN-RXN
2.6.1.87/2.6.1.92	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	RXN0-1863
2.1.2.13	UDP-4-amino-4-deoxy-L-arabinose formyltransferase	RXN0-1862
2.4.2.53	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	RXN0-3521
2.4.2.43	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	RXN0-2001
5.3.1.13	D-arabinose 5-phosphate isomerase	DARAB5PISOM-RXN
2.5.1.55	3-deoxy-D-manno-octulosonate 8-phosphate synthase	KDO-8PSYNTH-RXN
2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase	CPM-KDOSYNTH-RXN
2.4.99.12	3-deoxy-D-manno-octulosonic acid transferase	KDOTRANS-RXN
2.4.99.13	KDO transferase	KDOTRANS2-RXN
2.3.1.242	palmitoleoyl acyltransferase	PALMITOTRANS-RXN
2.3.1.243	myristoyl-acyl carrier protein-dependent acyltransferase	MYRPALMTRAN-RXN+MYRISTOYLACYLTRAN-RXN
2.3.1.241	lauroyl acyltransferase	LAUROYLACYLTRAN-RXN
1.14.14.80	oleate 18-hydroxylase	RXN-16400+RXN-16399+RXN-16398
1.2.1.84	alcohol-forming 18-hydroxyoleoyl-CoA reductase	RXN-16404+RXN-16405+RXN-16403+RXN-16408+RXN-9344
1.14.14.130	laurate 7-monooxygenase	RXN-12186
2.3.1.198	sn-2-glycerol-3-phosphate C22:0-DCA-CoA acyl transferase	RXN-13734
1.14.14.91	cinnamate 4-hydroxylase	TRANS-CINNAMATE-4-MONOOXYGENASE-RXN
1.14.14.96	4-coumarte,NADPH:oxygen oxidoreductase (3-hydroxylating)	RXN-1103
6.2.1.12	caffeate coenzyme A ligase	RXN-1126+4-COUMARATE--COA-LIGASE-RXN
2.1.1.104	caffeoyl-CoA O-methyltransferase	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN+RXN-21514
2.1.1.68	caffeate o-methyltransferase	RXN-1104
6.2.1.34	ferulate coenzyme A ligase	6.2.1.34-RXN
2.3.1.110	feruloyl-CoA:tyramine N-(hydroxycinnamoyl)transferase	TYRAMINE-N-FERULOYLTRANSFERASE-RXN+RXN-8715+RXN-8714+RXN-8713
2.4.2.52	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	2.7.8.25-RXN
2.7.7.61	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	2.7.7.61-RXN
6.2.1.22	[citrate [pro-3S]-lyase] ligase	CITC-RXN
2.7.7.66	phosphoribosyl-dephospho-CoA transferase	RXN-9101
4.2.1.96	pterin-4-alpha-carbinolamine dehydratase	RXN-14206
1.5.1.34	6,7-dihydropteridine reductase	1.5.1.34-RXN
4.99.1.11	sirohydrochlorin nickelchelatase	RXN-8059
6.3.5.12	Ni-sirohydrochlorin a,c-diamide synthase	RXN-8060
6.3.3.7	Ni-sirohydrochlorin a,c-diamide reductive cyclase	RXN-8061
6.4.1.9	coenzyme F430 synthetase	RXN-8063
6.3.2.2	glutamate--L-cysteine ligase	GLUTCYSLIG-RXN+RXN-20400
6.3.2.3	glutathione synthetase	GLUTATHIONE-SYN-RXN+RXN-20401
4.99.1.12	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase	RXN-19051
1.3.3.11	pyrroloquinoline-quinone synthase	RXN-11181
2.8.1.7	cysteine desulfurase	RXN-15881
3.6.4.-	non-chaperonin molecular chaperone ATPase	RXN-14391
1.1.1.117	D-arabinose dehydrogenase	1.1.1.117-RXN
1.1.3.37	D-arabinono-1,4-lactone oxidase	1.1.3.37-RXN
2.5.1.130	DHNA phytyl transferase	RXN-7568
1.6.5.12	demethylphylloquinone dehydrogenase	RXN-17007
2.1.1.329	demethylphylloquinol methyltransferase	RXN-7569
4.1.1.11	aspartate 1-decarboxylase	ASPDECARBOX-RXN
1.1.1.169	2-dehydropantoate 2-reductase	2-DEHYDROPANTOATE-REDUCT-RXN
6.3.2.1	pantothenate synthetase	PANTOATE-BETA-ALANINE-LIG-RXN
2.7.1.33	pantothenate kinase	PANTOTHENATE-KIN-RXN
6.3.2.5	phosphopantothenoylcysteine synthetase	P-PANTOCYSLIG-RXN
4.1.1.36	4'-phosphopantothenoylcysteine decarboxylase	P-PANTOCYSDECARB-RXN
2.7.7.3	pantetheine-phosphate adenylyltransferase	PANTEPADENYLYLTRAN-RXN
2.7.1.24	dephospho-CoA kinase	DEPHOSPHOCOAKIN-RXN
1.14.15.18	25-hydroxyvitamin D3 1alpha-hydroxylase	CALCIDIOL-1-MONOOXYGENASE-RXN
1.13.11.27	4-hydroxyphenylpyruvate dioxygenase	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
2.5.1.115	homogentisate phytyltransferase	RXN-2541
5.5.1.24	delta-tocopherol cyclase	RXN-2561+RXN-2543+RXN-14921+RXN-14922
2.1.1.95	delta-tocopherol methyltransferase	RXN-2562+TOCOPHEROL-O-METHYLTRANSFERASE-RXN+RXN-14919+RXN-14918
2.1.1.295	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase	RXN-2542+RXN-14917+RXN-2762
1.17.4.4	vitamin-K-epoxide reductase	1.1.4.1-RXN+RXN-19672
1.6.5.2	phylloquinone reductase	RXN-19671
4.1.1.90	peptidyl-glutamate 4-carboxylase	RXN-10683
2.3.1.51	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	RXN-20512+RXN-15043+RXN-17729+1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN+RXN-1623+RXN-20565+RXN-16067
3.1.3.4	phosphatidate phosphatase	RXN-20514+PHOSPHATIDATE-PHOSPHATASE-RXN+RXN-20535+RXN-20566
2.3.1.M82	phosphatidylcholine:phosphatidylethanolamine N-acyltransferase	RXN-20503+RXN-20563+RXN-20568
3.1.1.32	N-acyl-phosphatidylethanolamine sn-1 acylhydrolase	RXN-20560+PHOSPHOLIPASE-A1-RXN
3.1.1.4	N-acyl-2-acyl-lysophosphatidylethanolamine sn-2 acylhydrolase	RXN-20561+RXN-20546+RXN-20555+RXN-20552+PHOSPHOLIPASE-A2-RXN
3.1.4.39	N-arachidonoyl-1-acyl-2-lysophosphatidylethanolamine phosphodiesterase	RXN-20547+RXN-20551+RXN-17740
3.1.4.46	sn-glycero-3-phospho-N-(arachidonoyl)ethanolamine phosphodiesterase	RXN-20556+GLYCPDIESTER-RXN
3.1.4.54	N-arachidonoyl-phosphatidylethanolamine-hydrolysing phospholipase	RXN-20502+RXN-20553+RXN-20516
2.3.1.41/2.3.1.179	beta-ketoacyl-ACP synthase	3-OXOACYL-ACP-SYNTH-RXN+RXN-9539+3-OXOACYL-ACP-SYNTH-BASE-RXN+RXN0-2141+RXN-9516+RXN-9523+RXN-9527+RXN-9531+RXN-9535+RXN-10654+RXN-10658+RXN-11479
1.1.1.100	3-oxoacyl-[ACP] reductase	3-OXOACYL-ACP-REDUCT-RXN+RXN-9536+RXN-9540+RXN-9633+RXN1G-349+RXN1G-469+RXN-9518+RXN-9524+RXN0-2142+RXN-9514+RXN-9528+RXN-9532+RXN-10655+RXN-10659+RXN-9556+RXN1G-508+RXN-10060+RXN-11476+RXN-11480
4.2.1.59	3-hydroxyacyl-[acp] dehydratase	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN+RXN-9537+4.2.1.61-RXN+RXN-9634+RXN1G-320+4.2.1.58-RXN+RXN-9520+4.2.1.59-RXN+RXN-9655+RXN0-2144+RXN-10656+RXN-10660+RXN-9557+RXN-9533+RXN1G-363+RXN1G-517+RXN-10061+RXN-11477+RXN-11481
1.3.1.9	2,3,4-saturated fatty acyl-[acp]:NAD+ oxidoreductase	ENOYL-ACP-REDUCT-NADH-RXN+RXN-9662+RXN-9663+RXN-9635+RXN1G-395+RXN0-2145+RXN-9657+RXN-9658+RXN-9659+RXN-9660+RXN-9661+RXN-10657+RXN-10661+RXN-9558+RXN1G-488+RXN1G-526+RXN-10062+RXN-11478+RXN-11482
1.3.1.10/1.3.1.39/1.3.1.104	enoyl-[acyl-carrier-protein] reductase	ENOYL-ACP-REDUCT-NADPH-RXN
1.3.8.7	medium-chain acyl-CoA dehydrogenase	RXN-13615
4.2.1.17	trans-Delta2-decenoyl-CoA hydratase	RXN-13616+ENOYL-COA-HYDRAT-RXN+RXN-21781+RXN-21779+RXN-21780
1.1.1.35	(S)-3-hydroxydecanoyl-CoA dehydrogenase	RXN-12490+RXN-11662+RXN0-2044+OHACYL-COA-DEHYDROG-RXN+RXN-21784+RXN-21783
